Source,Date Uploaded,Time Uploaded,Summary,Date,Estimated Time,Killed,Injured,Number of Incidents,High Impact,Source/Info Rating,Location Accuracy,Longitude,Province,Location,Activity Type,Incident Type,Incident Sub-Type,Instigator,Sub-Type,Target,Sub-Type,Criminal Charges,Physical_Context,Reason for Protest,Number of Protesters,PMU Faction,Tribal Group,Major Storm,Tactic ,Unusual Social / Political Tension,Threat Level,Disease Outbreak,Drought
,,,Unconfirmed reports have indicated that insurgents in a 10 August assault on Mocimboa da Praia town destroyed a French made interceptor vessel recently purchased by the Mozambican government that had been docked at the town's pier.  Other reports indicated that a second patrol boat was damaged by RPG fire in the attack as well.  ,10-08-2020,0600-1159,0,0,1,Yes,Reliable,Neighborhood / Village,"-11.342701, 40.363452",Cabo Delgado,MDP Pier,Terrorism,Grenade,Grenade Attack,Terrorist,Cabo Delgado Insurgents,Security_Forces,Mozambican Military *,,,,,,,,,,,,
,,,"Speaking at a virtual Word Bank Event on 11 August, President Filipe Nyusi said that natural gas exploration projects in Cabo Delgado are not threatened by the ongoing insurgency in the province.  Nyusi also said that there were ""signs of involvement"" of foreigners in training and recruiting local youth into the insurgency.  LNG projects in Palma remain Mozambique's single most important economic asset and are projected to double the size of the Mozambican economy in the coming years. ",11-08-2020,NA / Unknown,0,0,1,No,Reliable,Provincial,"-12.074871, 40.362704",Cabo Delgado,Provincewide,Announcement,Announcement,Announcement,National_Government,Government Employee,Industry_Infrastructure,Other Industry,,,,,,,,,,,,
,,,"200 additional Mozambican soldiers were deployed on 12 August from Pemba to the Afungi Penninsula / Palma area, soruces reported.  This came after Mocimboa da Praia town fell to a new insurgent assault earlier in the week. ",12-08-2020,NA / Unknown,0,0,1,Yes,Reliable,City / Town,"-10.813818, 40.508801",Cabo Delgado,Afungi/Palma,Military Operations,Security_Response,Other Security Operation,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"Insurgents on 12 August were reported to be in control of large parts of the Palma - Mocimboa da Praia (MDP) road.  Insurgent control likely stretches from MDP town itself north towards the MDP-Palma District Border.  Insurgents are also reported to still be in control of Awasse village, west of MDP town along the N380 road. ",12-08-2020,NA / Unknown,0,0,1,Yes,Reliable,County / District,"-11.198420, 40.277788",Cabo Delgado,Palma-MDP road,Terrorism,Warning,Disruptive Threat,Terrorist,Cabo Delgado Insurgents,National_Government,Local Gov,,,,,,,,,,,,
,,,"A local police chief on 08 August attacked and badly injured a fellow officer in Chinde District of Zambezia, leaving the victim in critical condition.  The police chief after the attack reportedly went on the run and is currently being sought be authorities.  ",08-08-2020,NA / Unknown,0,1,1,No,Reliable,County / District,"-18.586279, 36.460399",Zambezia,Chinde District,Crime,Physical_Altercation,Other Assault,Security_Forces,Mozambican Police *,Security_Forces,Mozambican Police *,,,,,,,,,,,,
,,,"Mozambican security forces in Macomia District were reported to have recently stopped issuing ""Guia de Marcha"" passes to local residents which allow local residents to move freely from one area to another within areas impacted by the ongoing insurgency.  This stoppage in the issuance of these passes has in recent days prevented those attempting to flee the insurgency zone from doing so.  The reasons for this stoppage are not currently known.  Instances of these passes being sold illegally in Macomia have increased.  The goverment has consistently attempted to play down the significance of the insurgency, and stopping more refugees from moving south towards Pemba may be part of this strategy. ",12-08-2020,NA / Unknown,0,0,1,Yes,Reliable,Provincial,"-12.233891, 40.128207",Cabo Delgado,Macomia District,Military Operations,Warning,Disruptive Threat,Security_Forces,Mozambican Military *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The Mozambican military on 12 August announced that it had killed 59 insurgents in fighting in Cabo Delgado in recent days, saying the the military had also destroyed six militant camps in recent operations.  No exact locations were specified for these clashes, and the statement was made a day after insurgents were confirmed to have captured Mocimboa da Praia town.  The military on Wednesday also said that it had repelled an insurgent assault on MDP town, though other sources widely agree the town has been occupied by militants.  Authorities also aknowldeged insurgent attacks in recent days on the villages of Anga, Buji, and Awasse, in addition to the MDP assault. Reliable sources later indicated that 73 insurgents had been killed in Mocimboa da Praia fighting.",12-08-2020,NA / Unknown,73,0,1,Yes,Questionable,Provincial,"-11.337962, 40.265160",Cabo Delgado,Mocimboa da Praia area,Military Operations,Small_Arms_Fire,Gun Battle,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"An investigation by the Maputo Provincial Prosecutor Office into the case of 15 young female recruits at a police training facility who were allegedly impregnated by their instructors.  The 15 had been training at the Matalana Basic School, and the case case to light after recent routine medical exams.  ",11-08-2020,NA / Unknown,0,0,1,No,Reliable,City / Town,"-25.7687,32.6478",Maputo,Matalane Basic School,Crime,Security_Response,Other Security Operation,Security_Forces,Mozambican Police *,Security_Forces,Mozambican Police *,,,,,,,,,,,,
,,,"The US's State Dpt on 07 August updated its travel warnings for Mozambique, advising against travel to ""Ancuabe, Ibo, Macomia, Meluco, Metuge, Mocimboa da Praia, Mueda, Muidumbe, Nangade, Palma, and Quissanga Districts"" due to the ongoing insurgency, while advising travelers to ""reconsider travel"" to Pemba.  The warning also advised that due to ""violent attacks against vehicles"", travel should be reconsidered along the N1 road between Chibabava and Gorongosa and along the N6 road beween Chimoio and Tica.  ",07-08-2020,NA / Unknown,0,0,1,Yes,Reliable,Provincial,"-11.462936, 40.266772",Nationwide,"Cabo Delgado, Sofala, and Manica Provinces",Hazard,Warning,Disruptive Threat,Foreign_Government,USA,Foreign_Civilian,Expat / Tourist,,,,,,,,,,,,
,,,"Inhambane province on 11 August reported that all 50 COVID patients in the province had officially recovered, and that there were now no active cases in the province.  Inhambane is the first province to have no currently known active COVID cases.",11-08-2020,NA / Unknown,0,0,1,Yes,Reliable,Provincial,"-22.847,34.568",Inhambane,Inhambane,Announcement,Announcement,Announcement,National_Government,Local Gov,Other,Disease,,,,,,,,,,,,
,,,"A young man in the early morning hours of 13 August entered a residence in the T3 neighborhood of Maputo City, stealing a wallet and a mobile phone.  The man was later arrested by local police. ",13-08-2020,0000-0559,0,0,1,No,Reliable,Neighborhood / Village,"-25.9555,32.6080",Maputo City,"T3 Neighborhood, Maputo City",Crime,Theft,Petty Theft,Criminal,Nonviolent Criminal,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"A young man in the early morning hours of 13 August entered a residence in the T3 neighborhood of Maputo City, stealing a wallet and a mobile phone.  The man was later arrested by local police. ",13-08-2020,0000-0559,0,0,1,No,Reliable,Neighborhood / Village,"-25.9473,32.6142",Maputo City,"T3 Neighborhood, Maputo City",Crime,Security_Response,Arrest,Security_Forces,Mozambican Police *,Criminal,Nonviolent Criminal,Theft- Other,,,,,,,,,,,
,,,A 26 year old man on 08 August beat his father to death with a blunt instrument during a domestic dispute in Autola da Matola in Maputo Province.  The man was later arrested by police.,08-08-2020,NA / Unknown,1,0,1,No,Reliable,Neighborhood / Village,"-25.9408,32.4485",Maputo,Autola da Matola,Crime,Security_Response,Arrest,Security_Forces,Mozambican Police *,Criminal,Violent Criminal,Murder / Assault,,,,,,,,,,,
,,,A 26 year old man on 08 August beat his father to death with a blunt instrument during a domestic dispute in Autola da Matola in Maputo Province.  The man was later arrested by police.,08-08-2020,NA / Unknown,1,0,1,No,Reliable,Neighborhood / Village,"-25.8904,32.4421",Maputo,Autola da Matola,Crime,Physical_Altercation,Other Assault,Criminal,Violent Criminal,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Two people were killed and 18 others injured in a road traffic accident in the Nicoadala area of Zambezia on 11 August.  The accident took place along the N1 road when a bus driver hit a pedestrian and then lost control of his vehicle, flipping the bus.  3 of the 18 injured are in critical condition, while 15 suffered minor injuries.",11-08-2020,0600-1159,2,18,1,No,Reliable,County / District,"-17.5717, 36.5735",Zambezia,"N1 road, Nicoadala area",Hazard,Hazard,Major RTA,Local_Civilian,Civilian / Shop,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"RENAMO dissident leader Mariano Nhongo said on 09 August that he will ""continue to defend"" weapons held by his group until the government negotiates a new peace agreement with his faction.  Nhongo made this announcement from Tete, where he said the group maintains a number of bases.  Suspected RENAMO dissidents continue to carry out intermittent attacks along the Sofala-Manica border.",09-08-2020,NA / Unknown,0,0,1,No,Reliable,Provincial,"-15.507,33.179",Tete ,Tete Province,Hazard,Warning,Disruptive Threat,Terrorist,RENAMO dissidents,National_Government,National Government,,,,,,,,,,,,
,,,68 Malawian nationals on 10 August were detained at the Ressano Garcia border crossing after entering Mozambique illegally.  The group had been expelled from South Africa into Mozambique and were discovered in the Kumbeza area by authorities after a tip off from locals.  ,10-08-2020,NA / Unknown,0,0,1,No,Fairly Reliable,City / Town,"-25.4507,31.9963",Maputo,Ressano Garcia,Crime,Security_Response,Other Security Operation,Security_Forces,Mozambican Police *,Other,Other,,,,,,,,,,,,
