Source,Date Uploaded,Time Uploaded,Summary,Date,Estimated Time,Killed,Injured,Number of Incidents,High Impact,Source/Info Rating,Location Accuracy,Longitude,Province,Location,Activity Type,Incident Type,Incident Sub-Type,Instigator,Sub-Type,Target,Sub-Type,Criminal Charges,Physical_Context,Reason for Protest,Number of Protesters,PMU Faction,Tribal Group,Major Storm,Tactic ,Unusual Social / Political Tension,Threat Level,Disease Outbreak,Drought
,,,"Galp Mozambique donated 45,000 visors to the Ministry of Health on 14 May to serve as protection against spread of COVID-19. Authorities claimed that the visors will aid in strengthening safety measures in a bid to prevent emergence of the coronavirus third wave.",14-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.975157, 32.565592",Nationwide,Nationwide,Announcement,Announcement,Announcement,Local_Civilian,Local Businessman,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Nacala-Porto Police arrested three individuals on 14 May over alleged involvement in the death of a South African national in Naherenque beach neighborhood four days ago. The suspects allegedly used machetes and blunt instruments to kill the victim, who was an employee of one of the companies that provides services to the Port of Nacala.",14-05-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-14.460649, 40.694015",Nampula,Nacala-Porto,Crime,Security_Response,Arrest,Security_Forces,Mozambican Police *,Criminal,Criminal Gang,Murder / Assault,,,,,,,,,,,
,,,Local militia and insurgents clashed between Miteda and Muambula villages on 13 May.  No information regarding casualties were available.  ,13-05-2021,NA / Unknown,0,0,1,No,Fairly Reliable,County / District,"-11.825472, 39.743967",Cabo Delgado,Between Miteda and Muambula,Military Operations,Small_Arms_Fire,Gun Battle,Terrorist,Cabo Delgado Insurgents,Security_Forces,Pro-gov militia ,,,,,,,,,,,,
,,,"Total CEO Patrick Pouyanne on 17 May said that the company its projects in Cabo Delgado, and is not pulling out of gas projects in Mozambique despite recent insurgent attacks. The company claimed that they have the confidence that the Mozambican Government will be able to restore peace in the province.  President Nyusi later said after talks with Total officials that the company ""may demand that there is tranquility and peace"" before restarting operations, and said Total would resume operations when the situation is ""calm"".  ",17-05-2021,0000-0559,0,0,1,No,Reliable,Provincial,"-10.813463, 40.477123",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,Foreign_Civilian,Foreign Company,National_Government,National Government,,,,,,,,,,,,
,,,"The Ministry of Health announced 21 new COVID cases in Mozambique on 17 May. The breakdown of new cases are as follows - Maputo City-4, Maputo Province-2, Inhambane-1, Sofala-2, Tete-1, Zambezia-12, and Nampula-1. Two deaths related to the coronavirus were reported after five days of no casualties. For the past 24 hours, six people have recovered from the infection while another six were hospitalized.",17-05-2021,NA / Unknown,2,21,1,No,Reliable,National,"-25.968822, 32.587283",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"President Nyusi on 16 May stated that the Disarmament, Demobilization and Reintegration Process will not be completed until August due to financial limitations brought by the economic impact of COVID-19. 44% percent of the RENAMO's former guerillas have already joined the process, but more than 2,500 still need to be demobilized.",16-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.968822, 32.587283",Nationwide,Nationwide,Announcement,Warning,Disruptive Threat,National_Government,National Government,Political_Party,RENAMO*,,,,,,,,,,,,
,,,Several residents of Sabie administrative post in Moamba reported destruction of crops by hippos and elephants who recently escaped from surrounding conservation areas. More than 30 hectares of crops were destroyed by hippos in Malengane while elephants destroyed machambas in Mucacaza 1 community.  ,17-05-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-25.314404, 32.251595",Maputo,"Sabie, Moamba",Hazard,Warning,Disruptive Threat,Other,Other,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Reports on 17 May indicated that security forces are manipulating the distribution of food and other aid at Quitunda, near Palma, where between 11,000 - 20,000 people remain displaced in the wake of the assault on Palma.",17-05-2021,NA / Unknown,0,0,1,No,Questionable,City / Town,"-10.8474,40.47629",Cabo Delgado,Quitunda,Crime,Theft,Corruption,Security_Forces,Mozambican Military *,Local_Civilian,IDPs,,,,,,,,,,,,
,,,"A civilian sustained bullet wounds after an agent of the National Criminal Investigation Service (SERNIC) shot sporadically in Beira City on 15 May. The victim was allegedly talking with his drunk friend, a border guard, when they were approached by the suspect. Reports suggest that they were having a discussion when the suspect started to shoot after an disagreement. The suspect was only detained for a few hours on the same day which prompted the victim's family to demand justice at the police station.",15-05-2021,NA / Unknown,0,1,1,No,Reliable,City / Town,"-19.814653, 34.873092",Sofala,Beira City,Crime,Small_Arms_Fire,SAF Targeted Shooting,Security_Forces,Mozambican Police *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"A civilian sustained bullet wounds after an agent of the National Criminal Investigation Service (SERNIC) shot sporadically in Beira City on 15 May. The victim was allegedly talking with his drunk friend, a border guard, when they were approached by the suspect. Reports suggest that they were having a discussion when the suspect started to shoot after an disagreement. The suspect was only detained for a few hours on the same day which prompted the victim's family to demand justice at the police station.",15-05-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-19.814643, 34.873098",Sofala,Beira City,Crime,Security_Response,Arrest,Security_Forces,Mozambican Police *,Security_Forces,Mozambican Police *,Murder / Assault,,,,,,,,,,,
,,,Agents of the National Criminal Investigation Service assigned to the Department of Investigation and Investigation of Criminal Proceedings have expressed disatisfaction over a lack of career progression and not receiving a 50 percent special bonus. The special bonus along with other perks should have reportedly been provided for agents with higher educational degrees in accordance with the law.,15-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.969945, 32.584315",Nationwide,Nationwide,Announcement,Announcement,Announcement,Security_Forces,Mozambican Police *,National_Government,National Government,,,,,,,,,,,,
,,,"The Mozambican Bar Association (OAM), through its Human Rights Commission (CDHOAM) and the Provincial Councils (CPs)  announced on 18 May that they will provide legal assistance and sponsorship for people who were illegally detained or arrested though application of Habeas Corpus. The announcement was made to ensure compliance of rules involving people denied of their freedom. ",18-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.928174, 32.545979",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Minister of Public Works, Housing and Water Resources, Joao Osvaldo Machatine, guaranteed on 17 May that 80% of the population will have access to drinking water by 2024. The goal of the project will be completed with to the inclusion of private sector.",17-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.927174, 32.541979",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Around 300 people in Inhambane province scheduled to receive the COVID-19 vaccine failed to come to the vaccination posts due to lack of time and/or coordination. The second dose of the vaccine will be administered in July 2021.,17-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-23.912229, 35.407062",Inhambane,Inhambane,Hazard,Warning,Disruptive Threat,Local_Civilian,Civilian / Shop,Other,Other,,,,,,,,,,,,
,,,"On 18 May, Portugal Prime Minister Antonio Costa stated that Portugal is willing to integrate military forces into any mission sent to Mozambique, and to provide any other means of support as part of an EU mission to Mozambique.  The type of support to be provided will be decided within the European Union. The statement came after Costa's meeting with Mozambican President Nyusi at the Summit on the Future of African Economies, hosted in Paris.",18-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.948174, 32.585979",Nationwide,Nationwide,Military Operations,Announcement,Announcement,Foreign_Government,Portugal,National_Government,National Government,,,,,,,,,,,,
,,,"Surveillance at border control posts in Tete and Niassa have been heightened due to large numbers of illegal immigrants in recent months attempting to cross into Mozambique.  Local authorities in Tete said they have increased surveillance to prevent the replication of a similar situation in Tete to that of Cabo Delgado.  Illegal immigrants often cross into Mozambique with the facilitation of Mozambican criminal networks.  10 people in Tete have been arrested this year as part of these networks.  4,566 ""border violators"" have been arrested in Tete this year.   ",18-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-16.614129, 34.172148",Tete ,Tete,Military Operations,Security_Response,Other Security Operation,National_Government,Local Gov,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"Surveillance at border control posts in Tete and Niassa have been heightened due to large numbers of illegal immigrants in recent months attempting to cross into Mozambique.  Local authorities in Tete said they have increased surveillance to prevent the replication of a similar situation in Tete to that of Cabo Delgado.  Illegal immigrants often cross into Mozambique with the facilitation of Mozambican criminal networks.  10 people in Tete have been arrested this year as part of these networks.  4,566 ""border violators"" have been arrested in Tete this year.   ",18-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-13.122204, 38.066610",Niassa,Niassa,Military Operations,Security_Response,Other Security Operation,National_Government,Local Gov,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"UNCHR on 18 May appealed to Mozambican and Tanzanian governments to allow free movement of people fleeing violence and conflict in Cabo Delgado, in search of international protection, safety, and assistance, as well as the right to cross international borders to seek asylum. They also urged authorities to ensure that separated family members are traced and reunited as soon as possible. UNCHR's statement follows reports of IDPs were being forcibly returned to Negomano in Mueda after crossing into Tanzania.",18-05-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-11.423399, 38.493893",Cabo Delgado,Negomane,Hazard,Warning,Disruptive Threat,Humanitarian_NGO ,UN,Local_Civilian,IDPs,,,,,,,,,,,,
,,,"The Ministry of Education and Human Development (MINEDH) on 17 May announced a deficit of 25,800 additional classrooms to accommodate 4,800 classes that are forced to study outside.",17-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.948574, 32.581979",Nationwide,Nationwide,Announcement,Warning,Disruptive Threat,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The Ministry of Health announced 32 new COVID cases in Mozambique on 16 May. 10 news cases were reported each for Maputo and Manica, seven cases for Niassa and five cases for Inhambane. For the past 24 hours, 15 people have recovered from the infection. No death recorded related to the coronavirus for the past five consecutive days with the national death toll remains at 826. ",16-05-2021,NA / Unknown,0,32,1,No,Reliable,National,"-25.968112, 32.587683",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Total CEO Patrick Pouyanne on 17 May said that the company is not pulling out of gas projects in Mozambique despite recent insurgent attacks. The company claimed that they have the confidence that the Mozambican Government will be able to restore peace in the province.  President Nyusi later said after talks with Total officials that the company ""may demand that there is tranquility and peace"" before restarting operations, and said Total would resume operations when the situation is ""calm"".  ",17-05-2021,0000-0559,0,0,1,No,Reliable,Provincial,"-10.813463, 40.477123",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,Foreign_Civilian,Foreign Company,National_Government,National Government,,,,,,,,,,,,
,,,"On 13 May, pro-government militias were reported to have clashed with insurgents in the Ntchinga area of Muidumbe district, killing an unknown number of militants.  No further details regarding this incident are currently available.  ",13-05-2021,NA / Unknown,0,0,1,No,Fairly Reliable,Neighborhood / Village,"-11.7391,39.8869",Cabo Delgado,Ntchinga,Military Operations,Small_Arms_Fire,Gun Battle,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The Ministry of Health announced 21 new COVID cases in Mozambique on 17 May. The breakdown of new cases are as follows - Maputo City-4, Maputo Province-2, Inhambane-1, Sofala-2, Tete-1, Zambezia-12, and Nampula-1. Two deaths related to the coronavirus were reported after five days of no casualties. For the past 24 hours, six people have recovered from the infection while another six were hospitalized.",17-05-2021,NA / Unknown,2,21,1,No,Reliable,National,"-25.968822, 32.587283",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"President Nyusi on 16 May stated that the Disarmament, Demobilization and Reintegration Process will not be completed until August due to financial limitations brought by the economic impact of COVID-19. 44% percent of the RENAMO's former guerillas have already joined the process, but more than 2,500 still need to be demobilized.",16-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.968822, 32.587283",Nationwide,Nationwide,Announcement,Warning,Disruptive Threat,National_Government,National Government,Political_Party,RENAMO*,,,,,,,,,,,,
,,,Analysts on 17 May stated that the delay in gas projects in Mozambique will make repayment of debt by 2023 complicated and could result in a financial default.,17-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.968122, 32.587083",Nationwide,Nationwide,Announcement,Warning,Disruptive Threat,Industry_Infrastructure,Oil and Gas,National_Government,National Government,,,,,,,,,,,,
,,,Several residents of Sabie administrative post in Moamba reported destruction of crops by hippos and elephants who recently escaped from surrounding conservation areas. More than 30 hectares of crops were destroyed by hippos in Malengane while elephants destroyed machambas in Mucacaza 1 community.  ,17-05-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-25.314404, 32.251595",Maputo,"Sabie, Moamba",Hazard,Warning,Disruptive Threat,Other,Other,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Reports on 17 May indicated that security forces are manipulating the distribution of food and other aid at Quitunda, near Palma, where between 11,000 - 20,000 people remain displaced in the wake of the assault on Palma.",17-05-2021,NA / Unknown,0,0,1,No,Questionable,City / Town,"-10.8474,40.47629",Cabo Delgado,Quitunda,Crime,Theft,Corruption,Security_Forces,Mozambican Military *,Local_Civilian,IDPs,,,,,,,,,,,,
,,,"A civilian sustained bullet wounds after an agent of the National Criminal Investigation Service (SERNIC) shot sporadically in Beira City on 15 May. The victim was allegedly talking with his drunk friend, a border guard, when they were approached by the suspect. Reports suggest that they were having a discussion when the suspect started to shoot after a disagreement. The suspect was only detained for a few hours on the same day which prompted the victim's family to demand justice at the police station.",15-05-2021,NA / Unknown,0,1,1,No,Reliable,City / Town,"-19.814653, 34.873092",Sofala,Beira City,Crime,Small_Arms_Fire,SAF Targeted Shooting,Security_Forces,Mozambican Police *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"A civilian sustained bullet wounds after an agent of the National Criminal Investigation Service (SERNIC) shot sporadically in Beira City on 15 May. The victim was allegedly talking with his drunk friend, a border guard, when they were approached by the suspect. Reports suggest that they were having a discussion when the suspect started to shoot after an disagreement. The suspect was only detained for a few hours on the same day which prompted the victim's family to demand justice at the police station.",15-05-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-19.814643, 34.873098",Sofala,Beira City,Crime,Security_Response,Arrest,Security_Forces,Mozambican Police *,Security_Forces,Mozambican Police *,Murder / Assault,,,,,,,,,,,
,,,Agents of the National Criminal Investigation Service assigned to the Department of Investigation and Investigation of Criminal Proceedings have expressed dissatisfaction over a lack of career progression and not receiving a 50 percent special bonus. The special bonus along with other perks should have reportedly been provided for agents with higher educational degrees in accordance with the law.,15-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.969945, 32.584315",Nationwide,Nationwide,Announcement,Announcement,Announcement,Security_Forces,Mozambican Police *,National_Government,National Government,,,,,,,,,,,,
,,,"The Mozambican Bar Association (OAM), through its Human Rights Commission (CDHOAM) and the Provincial Councils (CPs)  announced on 18 May that they will provide legal assistance and sponsorship for people who were illegally detained or arrested though application of Habeas Corpus. The announcement was made to ensure compliance of rules involving people denied of their freedom. ",18-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.928174, 32.545979",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Minister of Public Works, Housing and Water Resources, Joao Osvaldo Machatine, guaranteed on 17 May that 80% of the population will have access to drinking water by 2024. The goal of the project will be completed with to the inclusion of private sector.",17-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.927174, 32.541979",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Around 300 people in Inhambane province scheduled to receive the COVID-19 vaccine failed to come to the vaccination posts due to lack of time and/or coordination. The second dose of the vaccine will be administered in July 2021.,17-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-23.912229, 35.407062",Inhambane,Inhambane,Hazard,Warning,Disruptive Threat,Local_Civilian,Civilian / Shop,Other,Other,,,,,,,,,,,,
,,,"On 18 May, Portugal’s Prime Minister Antonio Costa stated that Portugal is willing to integrate military forces into any mission sent to Mozambique and to provide any other means of support as part of an EU mission to Mozambique.  The type of support to be provided will be decided within the European Union. The statement came after Costa's meeting with Mozambican President Nyusi at the Summit on the Future of African Economies, hosted in Paris.",18-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.948174, 32.585979",Nationwide,Nationwide,Military Operations,Announcement,Announcement,Foreign_Government,Portugal,National_Government,National Government,,,,,,,,,,,,
,,,"Surveillance at border control posts in Tete and Niassa have been heightened due to large numbers of illegal immigrants in recent months attempting to cross into Mozambique.  Local authorities in Tete said they have increased surveillance to prevent the replication of a similar situation in Tete to that of Cabo Delgado.  Illegal immigrants often cross into Mozambique with the facilitation of Mozambican criminal networks.  10 people in Tete have been arrested this year as part of these networks.  4,566 ""border violators"" were arrested in Tete this year.   ",18-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-16.614129, 34.172148",Tete ,Tete,Military Operations,Security_Response,Other Security Operation,National_Government,Local Gov,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"Surveillance at border control posts in Tete and Niassa have been heightened due to large numbers of illegal immigrants in recent months attempting to cross into Mozambique.  Local authorities in Tete said they have increased surveillance to prevent the replication of a similar situation in Tete to that of Cabo Delgado.  Illegal immigrants often cross into Mozambique with the facilitation of Mozambican criminal networks.  10 people in Tete have been arrested this year as part of these networks.  4,566 ""border violators"" were arrested in Tete this year.   ",18-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-13.122204, 38.066610",Niassa,Niassa,Military Operations,Security_Response,Other Security Operation,National_Government,Local Gov,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"On 18 April UNCHR appealed to Mozambican and Tanzanian governments to allow free movement of people fleeing violence and conflict in Cabo Delgado, in search of international protection, safety, and assistance, as well as the right to cross international borders to seek asylum. They also urged authorities to ensure that separated family members are traced and reunited as soon as possible. UNCHR's statement follows reports of IDPs were being forcibly returned to Negomano in Mueda after crossing into Tanzania.",18-05-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-11.423399, 38.493893",Cabo Delgado,Negomane,Hazard,Warning,Disruptive Threat,Humanitarian_NGO ,UN,Local_Civilian,IDPs,,,,,,,,,,,,
,,,"The Ministry of Education and Human Development (MINEDH) on 17 May announced a deficit of 25,800 additional classrooms to accommodate 4,800 classes that are forced to study outside.",17-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.948574, 32.581979",Nationwide,Nationwide,Announcement,Warning,Disruptive Threat,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Sources stated that SADC leader disagree in regards to the the scale and scope of an intervention in Mozambique. Zimbabwe President Mnangagwa favored a more aggressive approach with a larger force deployed to Cabo Delgado; South Africa and Bostwana prefer a more conservative intervention and were against the idea of ZImbabwe leading such a force.  President Nyusi meanwhile has allegedly remained reluctant to support an intervention.,30-04-2021,NA / Unknown,0,0,1,No,Reliable,National,"-12.196651, 39.323281",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,Government Employee,Foreign_Government,SADC,,,,,,,,,,,,
,,,"Local sources stated that several French companies expressed confidence in resuming investments in Mozambique. This comes after President Nyusi attended a 3-day talks in Paris. Technip, a main contractor for offshore operations in Rovuma Basin, stated that the Mozambique government has guaranteed that security is being restored which would enable projects to be developed more quickly. Executive Chairman of the African Energy Chamber Ayuk stated that during a meeting between President Nyusi and Total Chairman Patrick Pouyanne, Total had assured Nyusi that it would not abandon its Mozambique projects.",18-05-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-10.462758, 40.561350",Cabo Delgado,Rovuma Basin,Announcement,Announcement,Announcement,National_Government,Government Employee,Industry_Infrastructure,Oil and Gas,,,,,,,,,,,,
,,,"The FRELIMO central committee announced that it will meet during 22-23 May in Matola to evaluate the work of their party’s Political Commission, Verification Committee and the Central Office. The evaluation was in preparation for the political party’s elections. ",18-05-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-25.928230, 32.466363",Maputo,Matola,Announcement,Announcement,Announcement,Political_Party,FRELIMO*,Political_Party,FRELIMO*,,,,,,,,,,,,
,,,"The Ministry of Health announced 21 new COVID cases and 2 related deaths in Mozambique on 18 May. The new cases were recorded as follows: 12 in Zambezia, 4 in Maputo City, 2 in Maputo province, 1 in Inhambane, 1 in Tete, and 1 in Nampula.",18-05-2021,NA / Unknown,2,21,1,No,Reliable,National,"-25.969214, 32.585676",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,The Denis Hurley Peace Institute released images showing 100 militants allegedly crossing from the Namoto area into Tanzania in early May.,05-05-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-10.5681,40.3795",Cabo Delgado,Namoto,Terrorism,Warning,Disruptive Threat,Terrorist,Cabo Delgado Insurgents,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,A Catholic charity says there is “mounting speculation” that Tanzania is failing to respond against the insurgents or that the Tanzanian authorities are supporting the insurgency in Mozambique.,05-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-10.610175, 40.252395",Cabo Delgado,Cabo Delgado,Terrorism,Warning,Disruptive Threat,Terrorist,Cabo Delgado Insurgents,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"Bazaruto Archipelago National Park officials stated that revenue has dropped in revenue by more than 50% in Bazaruto Archipelago due to COVID. The Island previously received 26,000 tourists on 2019 and 10,000 during 2020. 31 million meticais were collected during 2019, which fell to 12 million meticais on 2020.",18-05-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-21.650802, 35.468272",Inhambane,Bazaruto Island,Announcement,Warning,Disruptive Threat,National_Government,Government Employee,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The National Inspection of Economic Activities (INAE) announced that 100 commercial establishments were recently suspended, and 19 establishments were closed for selling alcohol in violation of COVID-19 measures. This comes as INAE inspected 146 stalls and 116 restaurants on 16 May.",18-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.957224, 32.572487",Nationwide,Nationwide,Hazard,Security_Response,Other Security Operation,National_Government,Government Employee,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"UN stated that over 1,500 displaced people have been deported by Tanzania back to Mozambique in the aftermath of Palma attack. The IDPs were mostly children and women who had walked from Palma to Mozambique-Tanzania border.",18-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-10.931316, 39.791573",Cabo Delgado,Cabo Delgado,Hazard,Warning,Disruptive Threat,Foreign_Government,Tanzania,Local_Civilian,IDPs,,,,,,,,,,,,
,,,An EU technical team that will provide training Mozambican security forces was set to arrive this week in Mozambique. The training was to enable Mozambican security forces to better conduct operations against the insurgency in Cabo Delgado. Portuguese Prime Minister Antonio Costa stated that the European Union is also able to provide other forces and other support necessary.,18-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-10.931316, 39.791573",Cabo Delgado,Cabo Delgado,Military Operations,Announcement,Announcement,Foreign_Government,EU,Security_Forces,Mozambican Military *,,,,,,,,,,,,
,,,The World Bank stated that on18 May that “we will not abandon” Mozambique by providing complementary support.  World Bank Director of Operations Axel van Trotsenburg stated that they would accompany Mozambique even if the challenge is difficult. ,18-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.974721, 32.591008",Nationwide,Nationwide,Announcement,Announcement,Announcement,Industry_Infrastructure,Banking,National_Government,National Government,,,,,,,,,,,,
,,,Rwanda President Kagame attended talks with Nyusi in Paris. Reports stated that Rwanda could potentially provide troops to Mozambique to fight against the insurgency in Cabo Delgado with French backing.,18-05-2021,NA / Unknown,0,0,1,No,Questionable,Provincial,"-11.960453, 39.610109",Cabo Delgado,Cabo Delgado,Military Operations,Announcement,Announcement,Foreign_Government,Rwanda,National_Government,National Government,,,,,,,,,,,,
,,,"The US's Permanent Representative to the United Nations stated that the US government hopes for “swift and satisfactory conclusion” to conflict and insecurity in Mozambique. The US government is currently working with the Mozambican government to assist in protecting civilians, prevent possible attacks, and provide humanitarian relief.",18-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-11.874009, 39.132215",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,Foreign_Government,USA,National_Government,National Government,,,,,,,,,,,,
,,,"The Ministry of Health announced 22 new COVID cases in Mozambique on 19 May. The cases were recorded as follows: 7 in Maputo city, 5 in Maputo, 4 in Tete, 4 in Nampula, 1 in Cabo Delgado, and 1 in Inhambane.",19-05-2021,NA / Unknown,0,22,1,No,Reliable,National,"-25.969199, 32.585630",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Insurgents attacked and killed a fisherman in Ilha Quifula, south of Pangane, on 15 May. Locals stated that the victim arrived in the island with his colleague and was fishing in the area when insurgents attacked and killed the man; his colleague escaped the attack.  ",15-05-2021,NA / Unknown,1,0,1,No,Reliable,County / District,"-12.0189,40.5378",Cabo Delgado,Ilha Quifula,Terrorism,Physical_Altercation,Other Assault,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"An NGO issued a report stating concerns for around 350,000 displaced children who were affected by the ongoing insurgency in Cabo Delgado. Most of the displaced children lacked identification documents, missing parents, and schooling. Many of the displaced children stated that they could not access public services.",19-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-12.964031, 40.514332",Cabo Delgado,Cabo Delgado,Hazard,Warning,Disruptive Threat,Humanitarian_NGO ,NGO Policy,Local_Civilian,IDPs,,,,,,,,,,,,
,,,Rickshaw taxi drivers assaulted policemen who attempted to seize their vehicles during an operation in Zimpinga on 10 May. The operation was to prevent rickshaws from operating in the area. A civilian was killed and 3 were injured in the incident.,10-05-2021,NA / Unknown,1,3,1,No,Reliable,City / Town,"-19.080910, 33.645772",Manica,Zimpinga,Civil Unrest,Protest,Violent Protest,Local_Civilian,Civilian / Shop,Security_Forces,Mozambican Police *,,,,,,,,,,,,
,,,Rickshaw taxi drivers assaulted policemen who attempted to seize their vehicles during an operation in Pemba 19 May. ,19-05-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-12.962704, 40.507793",Cabo Delgado,Pemba,Crime,Security_Response,Other Security Operation,Security_Forces,Mozambican Police *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Rickshaw taxi drivers assaulted policemen who attempted to seize their vehicles during an operation in Pemba 19 May. ,19-05-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-12.962704, 40.507793",Cabo Delgado,Pemba,Civil Unrest,Protest,Violent Protest,Local_Civilian,Civilian / Shop,Security_Forces,Mozambican Police *,,,,,,,,,,,,
,,,Local sources stated that security forces have recently set security roadblocks to demand payments from passing vehicles in Pemba.,11-05-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-12.964952, 40.509059",Cabo Delgado,Pemba,Crime,Warning,Disruptive Threat,Security_Forces,Mozambican Police *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Saudi Arabia on 19 May announced it would provide support for the training of the Mozambican military. The Crown Prince of Saudi Arabia announced that the SADC is working with Saudi Arabia to assist security forces in Mozambique. This comes as the Crown Prince stated that 100 million EUR would be used to finance investments in the African countries.,19-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-13.122380, 39.002205",Nationwide,Nationwide,Military Operations,Announcement,Announcement,Foreign_Government,Saudi,National_Government,National Government,,,,,,,,,,,,
